Voltage	Acceleration	Displacement	Power
0.0004112	-0.2962	0.01002	4.425E-9
0.0001725	-0.2848	0.003447	3.881E-9
0.0003515	-0.2733	-0.00225	1.447E-9
0.000441	-0.2594	-0.008052	7.27E-10
0.0008287	-0.2496	-0.01409	2.412E-9
0.001299	-0.2431	-0.01966	4.478E-10
9.796E-5	-0.2348	-0.02543	7.294E-12
-6.609E-5	-0.2271	-0.03103	4.649E-10
-0.0003271	-0.2207	-0.03701	1.282E-9
-0.0007894	-0.2124	-0.04245	2.152E-13
9.051E-5	-0.203	-0.04745	4.789E-11
0.000359	-0.1926	-0.05376	3.239E-10
0.000866	-0.1797	-0.05914	1.329E-9
0.0002173	-0.1652	-0.06496	7.926E-11
0.0004484	-0.1535	-0.07079	1.1E-9
0.0004857	-0.1421	-0.07578	1.727E-11
0.00018	-0.1283	-0.08189	1.135E-9
0.0002993	-0.1181	-0.08731	1.863E-10
0.0007467	-0.1077	-0.09323	8.154E-11
0.0008064	-0.09669	-0.09897	1.727E-11
0.0001502	-0.08922	-0.1044	6.159E-11
0.0001874	-0.07968	-0.1099	5.115E-10
0.000441	-0.06939	-0.1156	1.731E-9
0.0003515	-0.06035	-0.1204	6.114E-10
0.0001874	-0.04945	-0.1259	2.247E-9
0.0001203	-0.0365	-0.1314	1.358E-9
0.000441	-0.02132	-0.1367	4.187E-12
0.0006572	-0.006705	-0.1423	1.644E-9
0.0003515	0.006046	-0.1474	2.314E-11
0.0002098	0.01541	-0.1523	1.065E-9
0.0005379	0.02345	-0.1574	1.865E-9
0.0001427	0.03332	-0.1626	2.827E-10
-1.389E-5	0.04274	-0.1674	2.359E-10
-0.0002301	0.05126	-0.1719	7.229E-11
0.0005081	0.06132	-0.1768	7.201E-10
0.0001725	0.07074	-0.1818	2.87E-10
0.0005752	0.08088	-0.1866	2.152E-13
8.478E-6	0.09402	-0.1906	2.046E-10
0.0001427	0.1057	-0.1952	9.616E-12
0.0001427	0.1155	-0.1997	7.229E-11
0.0005454	0.1268	-0.2041	2.046E-10
0.0002471	0.1377	-0.2079	1.41E-11
0.0002247	0.1495	-0.2119	2.845E-9
0.0005454	0.1622	-0.2159	4.93E-9
0.0006721	0.1734	-0.2198	7.585E-9
0.0003739	0.1822	-0.2235	5.307E-9
0.0009555	0.1896	-0.2273	9.328E-9
0.0002993	0.1986	-0.2306	7.222E-9
0.0007169	0.2063	-0.2336	1.148E-8
0.0002396	0.213	-0.2368	2.733E-9
0.0003664	0.2217	-0.24	1.148E-8
0.0001651	0.2322	-0.243	5.004E-9
0.0002396	0.2447	-0.246	1.092E-8
0.0004037	0.2578	-0.2487	1.644E-8
0.0002993	0.2673	-0.2509	1.016E-8
0.0002024	0.2758	-0.2537	6.955E-9
-0.0005061	0.2819	-0.256	1.336E-8
-8.846E-5	0.286	-0.258	1.217E-8
0.00062	0.2927	-0.2601	2.472E-8
0.0004857	0.3	-0.2619	3.106E-8
0.0002247	0.3087	-0.2636	3.391E-8
0.000262	0.3199	-0.2654	2.995E-8
0.0002173	0.3252	-0.2674	2.015E-8
0.0005528	0.3274	-0.2682	2.167E-8
0.0004484	0.334	-0.2699	2.959E-8
5.322E-5	0.3449	-0.2704	1.985E-8
0.0002024	0.3552	-0.2714	3.05E-8
0.000359	0.3663	-0.2725	2.183E-8
0.0004261	0.3715	-0.2727	2.798E-8
0.000262	0.3697	-0.2732	1.796E-8
0.000441	0.3749	-0.2732	2.309E-8
0.0003217	0.3858	-0.2738	2.833E-8
0.0008362	0.3924	-0.2734	2.556E-8
0.0002396	0.3959	-0.2735	3.852E-8
0.0002024	0.3979	-0.2731	3.143E-8
0.0005454	0.3961	-0.2727	2.71E-8
0.0004037	0.4002	-0.2719	3.488E-8
0.0002173	0.4152	-0.2711	2.78E-8
-0.0001779	0.4233	-0.2701	3.069E-8
0.0004857	0.4254	-0.2694	3.508E-8
0.0005752	0.4288	-0.268	1.564E-8
0.0005156	0.4241	-0.2667	2.941E-8
0.0006274	0.4228	-0.2645	2.167E-8
0.0003142	0.4339	-0.2631	2.106E-8
-0.0001854	0.4419	-0.2615	2.325E-8
0.0003739	0.4416	-0.2591	2.887E-8
0.000262	0.4381	-0.2573	1.644E-8
0.0005305	0.4356	-0.2548	1.713E-8
0.0003142	0.4377	-0.2519	1.422E-8
-7.355E-5	0.4439	-0.2494	1.617E-8
0.0005081	0.4458	-0.2472	2.341E-8
0.0001651	0.4401	-0.2442	1.726E-8
9.796E-5	0.4376	-0.2411	1.287E-8
0.0001949	0.4434	-0.2378	6.103E-9
-0.0001183	0.4499	-0.235	7.77E-9
0.0003291	0.451	-0.2309	7.677E-9
0.0001576	0.4459	-0.2272	4.081E-9
-0.0001407	0.4399	-0.2239	3.133E-9
0.0002918	0.4383	-0.2201	3.435E-9
0.000441	0.438	-0.2158	6.269E-9
0.0003739	0.4373	-0.2119	2.733E-9
8.305E-5	0.4354	-0.2078	3.373E-9
0.0004261	0.4331	-0.2033	6.868E-9
0.0004112	0.4345	-0.199	4.081E-9
0.0006274	0.4341	-0.1943	5.859E-9
0.0007094	0.426	-0.1894	5.859E-9
0.0005976	0.4195	-0.1846	1.831E-9
0.001202	0.4192	-0.1798	2.624E-9
0.000523	0.4206	-0.1743	3.926E-11
0.0001725	0.4207	-0.1698	3.784E-10
0.0004186	0.4159	-0.1642	1.099E-10
0.0005156	0.406	-0.1592	8.893E-11
0.001127	0.4003	-0.1536	2.32E-10
6.813E-5	0.3978	-0.1479	3.293E-11
0.0006349	0.3922	-0.1423	5.415E-10
3.085E-5	0.3823	-0.1364	4.424E-10
0.0006721	0.3715	-0.1312	1.618E-10
0.0003813	0.367	-0.1243	1.126E-10
3.085E-5	0.367	-0.1186	9.827E-13
0.0008064	0.3656	-0.1125	1.863E-10
0.0001203	0.3589	-0.1066	3.052E-10
0.0001427	0.3484	-0.1003	2.524E-10
-4.372E-5	0.3392	-0.09414	4.087E-11
5.322E-5	0.3319	-0.08766	3.384E-10
0.0001949	0.3253	-0.08167	2.887E-9
0.0002918	0.3177	-0.07469	8.154E-11
0.0001949	0.3082	-0.06897	3.178E-9
0.0002396	0.3013	-0.06198	4.879E-10
9.051E-5	0.2945	-0.05555	1.332E-10
0.0009331	0.2837	-0.04926	1.1E-9
9.796E-5	0.2736	-0.04252	1.731E-9
0.0003739	0.2654	-0.0357	3.493E-13
0.0007169	0.2563	-0.02918	1.358E-9
0.0003366	0.2485	-0.02226	6.114E-10
0.000359	0.2403	-0.01587	6.377E-10
6.068E-5	0.2318	-0.009133	2.162E-10
0.0004857	0.2248	-0.002519	2.849E-11
0.0004112	0.2159	0.004103	5.856E-10
-0.0002749	0.2034	0.01082	8.452E-10
8.305E-5	0.1899	0.01783	1.898E-10
0.0006423	0.1783	0.02469	4.039E-15
0.0005006	0.1698	0.03143	5.917E-10
0.0002769	0.1627	0.03856	6.177E-10
0.0001054	0.1534	0.04491	1.727E-11
0.0005528	0.1432	0.05178	3.629E-10
0.0002769	0.1341	0.05852	2.361E-9
0.0005752	0.1229	0.06523	1.741E-9
0.000866	0.1091	0.0718	9.126E-9
0.0007691	0.09752	0.0777	1.336E-8
0.0002098	0.08883	0.08481	1.252E-8
0.000866	0.07897	0.09122	1.016E-8
