Voltage	Acceleration	Displacement	Power
0.0002247	0.001951	-0.04329	2.045E-8
0.0003813	0.002018	-0.04353	2.293E-8
0.000441	0.001976	-0.04295	2.675E-8
0.0004335	0.002073	-0.04293	3.013E-8
0.00018	0.002303	-0.04259	3.124E-8
9.051E-5	0.002825	-0.04261	4.817E-8
0.0006796	0.003118	-0.04247	2.658E-8
0.0008735	0.003057	-0.04291	3.77E-8
0.0004708	0.003237	-0.04241	2.423E-8
0.000344	0.003152	-0.04243	1.74E-8
0.0003813	0.003427	-0.04254	3.087E-8
0.0005454	0.003575	-0.04206	2.406E-8
0.0003888	0.003818	-0.04216	2.06E-8
0.0004037	0.003896	-0.04151	3.275E-8
0.0005156	0.003986	-0.04234	1.685E-8
0.000866	0.004288	-0.04119	1.205E-8
0.0004335	0.004082	-0.04159	1.591E-8
0.0003217	0.003881	-0.04195	3.749E-8
0.000702	0.003513	-0.04119	1.782E-8
0.0003739	0.003539	-0.041	2.198E-8
0.0007467	0.00364	-0.04078	2.39E-8
0.0004857	0.003557	-0.04098	3.069E-8
0.0008138	0.003313	-0.04108	1.897E-8
0.0002546	0.003128	-0.04076	1.604E-8
0.0005305	0.002918	-0.0408	3.087E-8
0.0006796	0.002859	-0.04041	2.045E-8
0.0005976	0.002648	-0.04039	3.087E-8
0.0005752	0.002228	-0.04069	3.199E-8
0.0004112	0.002001	-0.04048	1.955E-8
-3.626E-5	0.002156	-0.04001	3.488E-8
0.0002844	0.00219	-0.04002	3.548E-8
0.0003291	0.001885	-0.03983	3.333E-8
0.0002322	0.002	-0.04016	3.124E-8
0.0006125	0.002071	-0.03997	2.851E-8
0.0003813	0.001981	-0.03969	1.882E-8
0.0003962	0.002092	-0.03952	2.472E-8
0.000702	0.002113	-0.03906	2.904E-8
0.0003962	0.00233	-0.03917	2.539E-8
0.0001949	0.002422	-0.03897	2.045E-8
0.0005901	0.002754	-0.03901	1.591E-8
0.0005976	0.002948	-0.03929	2.325E-8
0.0003739	0.003251	-0.03909	2.607E-8
0.0007318	0.003514	-0.03865	2.06E-8
0.0003664	0.003538	-0.03856	3.333E-8
0.0002471	0.003451	-0.0385	1.473E-8
0.0004186	0.003382	-0.03825	1.577E-8
0.00062	0.003616	-0.0384	1.941E-8
0.0005976	0.003739	-0.03848	2.374E-8
0.0006349	0.003702	-0.03827	3.294E-8
0.0008362	0.00389	-0.03792	2.246E-8
0.0004484	0.003928	-0.03757	2E-8
0.0009555	0.00412	-0.03769	1.671E-8
0.0004186	0.004165	-0.0375	1.941E-8
0.0001203	0.003825	-0.03753	2.489E-8
0.0006647	0.003988	-0.03737	3.162E-8
0.0003739	0.004484	-0.03763	2.815E-8
0.0004708	0.00454	-0.03734	2.522E-8
0.0007915	0.004645	-0.03712	3.143E-8
0.0005827	0.004763	-0.03718	3.568E-8
0.0002546	0.005164	-0.03614	2.198E-8
0.0003366	0.005459	-0.03667	3.528E-8
0.00062	0.005247	-0.03718	3.032E-8
0.0007243	0.005336	-0.03644	3.873E-8
0.0005752	0.005411	-0.03664	2.472E-8
0.0008437	0.005534	-0.03659	3.488E-8
0.0005603	0.005891	-0.03646	3.668E-8
0.0003217	0.006114	-0.03644	3.79E-8
0.0005156	0.006338	-0.03621	4.887E-8
0.0004708	0.006339	-0.03641	2.869E-8
0.0006349	0.006655	-0.03583	3.998E-8
0.0005901	0.006677	-0.03575	4.454E-8
0.0008287	0.006546	-0.03561	3.528E-8
0.0007318	0.006604	-0.03553	3.313E-8
0.0006871	0.006431	-0.03553	3.79E-8
0.00062	0.006619	-0.0354	3.352E-8
0.000344	0.006769	-0.03555	2.075E-8
0.0002247	0.0069	-0.03516	4.212E-8
0.0002322	0.006569	-0.03592	3.391E-8
0.0004335	0.006593	-0.03531	2.727E-8
0.0006572	0.006821	-0.03515	5.051E-8
0.0002769	0.006751	-0.03514	4.234E-8
0.0002024	0.006442	-0.03433	3.648E-8
0.001075	0.006699	-0.03467	4.409E-8
0.0007243	0.006744	-0.03429	2.995E-8
0.0002247	0.006942	-0.0342	5.004E-8
0.0006125	0.006997	-0.0346	5.195E-8
0.0006945	0.006971	-0.03402	4.256E-8
0.0005901	0.007024	-0.0344	5.123E-8
0.0006498	0.00698	-0.03437	3.628E-8
0.0001427	0.006583	-0.03395	3.218E-8
0.001067	0.006599	-0.03393	4.191E-8
0.0004186	0.006325	-0.03417	2.506E-8
0.000702	0.006573	-0.03386	3.352E-8
0.0003142	0.006561	-0.0339	3.106E-8
0.0005305	0.006416	-0.03337	3.218E-8
0.0008138	0.006069	-0.03358	3.143E-8
0.0006647	0.006105	-0.03334	4.748E-8
0.0001427	0.006124	-0.03367	2.261E-8
0.0003068	0.005773	-0.03299	2.015E-8
0.0005305	0.005592	-0.03277	3.069E-8
0.0008511	0.005364	-0.03317	1.577E-8
0.0004261	0.005763	-0.03308	2.183E-8
0.0002918	0.005682	-0.03329	2.06E-8
0.0006796	0.005859	-0.03265	1.671E-8
0.0003142	0.005318	-0.03223	1.868E-8
0.0003664	0.005407	-0.03245	3.106E-8
0.0005528	0.005319	-0.0328	1.252E-8
0.0002695	0.005346	-0.0322	1.74E-8
0.0006274	0.005338	-0.03262	2.358E-8
-0.0001332	0.005228	-0.03212	2.09E-8
0.0003515	0.005529	-0.03243	2.762E-8
9.796E-5	0.005638	-0.03216	2.456E-8
0.0005528	0.005478	-0.03217	2.214E-8
0.0005305	0.005507	-0.03157	2.624E-8
0.0004783	0.005193	-0.03206	2.693E-8
0.0005379	0.005292	-0.03173	2.325E-8
0.001015	0.005347	-0.03166	4.041E-8
0.0002993	0.005281	-0.03174	1.299E-8
0.0004559	0.005339	-0.03147	5.661E-8
0.0003664	0.005513	-0.03138	3.124E-8
0.0005305	0.005771	-0.03135	2.214E-8
0.0003515	0.00588	-0.0313	3.608E-8
0.000359	0.005863	-0.03112	3.588E-8
0.0006349	0.005959	-0.03125	3.915E-8
0.0007318	0.006214	-0.03103	2.374E-8
0.0002173	0.006516	-0.03141	3.352E-8
0.0004783	0.006659	-0.03079	3.313E-8
0.0005752	0.006861	-0.03094	2.693E-8
0.0005454	0.007288	-0.03068	3.915E-8
0.0001054	0.007744	-0.03	2.39E-8
0.0001725	0.008109	-0.03043	1.564E-8
0.0007094	0.008466	-0.03046	8.826E-9
0.0003217	0.008495	-0.03031	1.868E-8
